family,root_chord,root_notes,inversion,inversion_number,slash_symbol,bass_note,ordered_notes,local_image,provenance
diminished_triad,Cdim,C-Eb-Gb,first,1,Cdim/Eb,Eb,Eb-Gb-C,diminished_triad/first/cdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Cdim,C-Eb-Gb,second,2,Cdim/Gb,Gb,Gb-C-Eb,diminished_triad/second/cdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Cdim7,C-Eb-Gb-A,first,1,Cdim7/Eb,Eb,Eb-Gb-A-C,diminished_7/first/cdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Cdim7,C-Eb-Gb-A,second,2,Cdim7/Gb,Gb,Gb-A-C-Eb,diminished_7/second/cdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Cdim7,C-Eb-Gb-A,third,3,Cdim7/A,A,A-C-Eb-Gb,diminished_7/third/cdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Cm7b5,C-Eb-Gb-Bb,first,1,Cm7b5/Eb,Eb,Eb-Gb-Bb-C,half_diminished_7/first/cm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Cm7b5,C-Eb-Gb-Bb,second,2,Cm7b5/Gb,Gb,Gb-Bb-C-Eb,half_diminished_7/second/cm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Cm7b5,C-Eb-Gb-Bb,third,3,Cm7b5/Bb,Bb,Bb-C-Eb-Gb,half_diminished_7/third/cm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Dbdim,Db-E-G,first,1,Dbdim/E,E,E-G-Db,diminished_triad/first/dbdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Dbdim,Db-E-G,second,2,Dbdim/G,G,G-Db-E,diminished_triad/second/dbdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Dbdim7,Db-E-G-Bb,first,1,Dbdim7/E,E,E-G-Bb-Db,diminished_7/first/dbdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Dbdim7,Db-E-G-Bb,second,2,Dbdim7/G,G,G-Bb-Db-E,diminished_7/second/dbdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Dbdim7,Db-E-G-Bb,third,3,Dbdim7/Bb,Bb,Bb-Db-E-G,diminished_7/third/dbdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dbm7b5,Db-E-G-B,first,1,Dbm7b5/E,E,E-G-B-Db,half_diminished_7/first/dbm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dbm7b5,Db-E-G-B,second,2,Dbm7b5/G,G,G-B-Db-E,half_diminished_7/second/dbm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dbm7b5,Db-E-G-B,third,3,Dbm7b5/B,B,B-Db-E-G,half_diminished_7/third/dbm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Ddim,D-F-Ab,first,1,Ddim/F,F,F-Ab-D,diminished_triad/first/ddim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Ddim,D-F-Ab,second,2,Ddim/Ab,Ab,Ab-D-F,diminished_triad/second/ddim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Ddim7,D-F-Ab-B,first,1,Ddim7/F,F,F-Ab-B-D,diminished_7/first/ddim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Ddim7,D-F-Ab-B,second,2,Ddim7/Ab,Ab,Ab-B-D-F,diminished_7/second/ddim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Ddim7,D-F-Ab-B,third,3,Ddim7/B,B,B-D-F-Ab,diminished_7/third/ddim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dm7b5,D-F-Ab-C,first,1,Dm7b5/F,F,F-Ab-C-D,half_diminished_7/first/dm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dm7b5,D-F-Ab-C,second,2,Dm7b5/Ab,Ab,Ab-C-D-F,half_diminished_7/second/dm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Dm7b5,D-F-Ab-C,third,3,Dm7b5/C,C,C-D-F-Ab,half_diminished_7/third/dm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Ebdim,Eb-Gb-A,first,1,Ebdim/Gb,Gb,Gb-A-Eb,diminished_triad/first/ebdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Ebdim,Eb-Gb-A,second,2,Ebdim/A,A,A-Eb-Gb,diminished_triad/second/ebdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Ebdim7,Eb-Gb-A-C,first,1,Ebdim7/Gb,Gb,Gb-A-C-Eb,diminished_7/first/ebdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Ebdim7,Eb-Gb-A-C,second,2,Ebdim7/A,A,A-C-Eb-Gb,diminished_7/second/ebdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Ebdim7,Eb-Gb-A-C,third,3,Ebdim7/C,C,C-Eb-Gb-A,diminished_7/third/ebdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Ebm7b5,Eb-Gb-A-Db,first,1,Ebm7b5/Gb,Gb,Gb-A-Db-Eb,half_diminished_7/first/ebm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Ebm7b5,Eb-Gb-A-Db,second,2,Ebm7b5/A,A,A-Db-Eb-Gb,half_diminished_7/second/ebm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Ebm7b5,Eb-Gb-A-Db,third,3,Ebm7b5/Db,Db,Db-Eb-Gb-A,half_diminished_7/third/ebm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Edim,E-G-Bb,first,1,Edim/G,G,G-Bb-E,diminished_triad/first/edim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Edim,E-G-Bb,second,2,Edim/Bb,Bb,Bb-E-G,diminished_triad/second/edim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Edim7,E-G-Bb-Db,first,1,Edim7/G,G,G-Bb-Db-E,diminished_7/first/edim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Edim7,E-G-Bb-Db,second,2,Edim7/Bb,Bb,Bb-Db-E-G,diminished_7/second/edim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Edim7,E-G-Bb-Db,third,3,Edim7/Db,Db,Db-E-G-Bb,diminished_7/third/edim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Em7b5,E-G-Bb-D,first,1,Em7b5/G,G,G-Bb-D-E,half_diminished_7/first/em7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Em7b5,E-G-Bb-D,second,2,Em7b5/Bb,Bb,Bb-D-E-G,half_diminished_7/second/em7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Em7b5,E-G-Bb-D,third,3,Em7b5/D,D,D-E-G-Bb,half_diminished_7/third/em7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Fdim,F-Ab-B,first,1,Fdim/Ab,Ab,Ab-B-F,diminished_triad/first/fdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Fdim,F-Ab-B,second,2,Fdim/B,B,B-F-Ab,diminished_triad/second/fdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Fdim7,F-Ab-B-D,first,1,Fdim7/Ab,Ab,Ab-B-D-F,diminished_7/first/fdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Fdim7,F-Ab-B-D,second,2,Fdim7/B,B,B-D-F-Ab,diminished_7/second/fdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Fdim7,F-Ab-B-D,third,3,Fdim7/D,D,D-F-Ab-B,diminished_7/third/fdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Fm7b5,F-Ab-B-Eb,first,1,Fm7b5/Ab,Ab,Ab-B-Eb-F,half_diminished_7/first/fm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Fm7b5,F-Ab-B-Eb,second,2,Fm7b5/B,B,B-Eb-F-Ab,half_diminished_7/second/fm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Fm7b5,F-Ab-B-Eb,third,3,Fm7b5/Eb,Eb,Eb-F-Ab-B,half_diminished_7/third/fm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Gbdim,Gb-A-C,first,1,Gbdim/A,A,A-C-Gb,diminished_triad/first/gbdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Gbdim,Gb-A-C,second,2,Gbdim/C,C,C-Gb-A,diminished_triad/second/gbdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Gbdim7,Gb-A-C-Eb,first,1,Gbdim7/A,A,A-C-Eb-Gb,diminished_7/first/gbdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Gbdim7,Gb-A-C-Eb,second,2,Gbdim7/C,C,C-Eb-Gb-A,diminished_7/second/gbdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Gbdim7,Gb-A-C-Eb,third,3,Gbdim7/Eb,Eb,Eb-Gb-A-C,diminished_7/third/gbdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gbm7b5,Gb-A-C-E,first,1,Gbm7b5/A,A,A-C-E-Gb,half_diminished_7/first/gbm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gbm7b5,Gb-A-C-E,second,2,Gbm7b5/C,C,C-E-Gb-A,half_diminished_7/second/gbm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gbm7b5,Gb-A-C-E,third,3,Gbm7b5/E,E,E-Gb-A-C,half_diminished_7/third/gbm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Gdim,G-Bb-Db,first,1,Gdim/Bb,Bb,Bb-Db-G,diminished_triad/first/gdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Gdim,G-Bb-Db,second,2,Gdim/Db,Db,Db-G-Bb,diminished_triad/second/gdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Gdim7,G-Bb-Db-E,first,1,Gdim7/Bb,Bb,Bb-Db-E-G,diminished_7/first/gdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Gdim7,G-Bb-Db-E,second,2,Gdim7/Db,Db,Db-E-G-Bb,diminished_7/second/gdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Gdim7,G-Bb-Db-E,third,3,Gdim7/E,E,E-G-Bb-Db,diminished_7/third/gdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gm7b5,G-Bb-Db-F,first,1,Gm7b5/Bb,Bb,Bb-Db-F-G,half_diminished_7/first/gm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gm7b5,G-Bb-Db-F,second,2,Gm7b5/Db,Db,Db-F-G-Bb,half_diminished_7/second/gm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Gm7b5,G-Bb-Db-F,third,3,Gm7b5/F,F,F-G-Bb-Db,half_diminished_7/third/gm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Abdim,Ab-B-D,first,1,Abdim/B,B,B-D-Ab,diminished_triad/first/abdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Abdim,Ab-B-D,second,2,Abdim/D,D,D-Ab-B,diminished_triad/second/abdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Abdim7,Ab-B-D-F,first,1,Abdim7/B,B,B-D-F-Ab,diminished_7/first/abdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Abdim7,Ab-B-D-F,second,2,Abdim7/D,D,D-F-Ab-B,diminished_7/second/abdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Abdim7,Ab-B-D-F,third,3,Abdim7/F,F,F-Ab-B-D,diminished_7/third/abdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Abm7b5,Ab-B-D-Gb,first,1,Abm7b5/B,B,B-D-Gb-Ab,half_diminished_7/first/abm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Abm7b5,Ab-B-D-Gb,second,2,Abm7b5/D,D,D-Gb-Ab-B,half_diminished_7/second/abm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Abm7b5,Ab-B-D-Gb,third,3,Abm7b5/Gb,Gb,Gb-Ab-B-D,half_diminished_7/third/abm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Adim,A-C-Eb,first,1,Adim/C,C,C-Eb-A,diminished_triad/first/adim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Adim,A-C-Eb,second,2,Adim/Eb,Eb,Eb-A-C,diminished_triad/second/adim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Adim7,A-C-Eb-Gb,first,1,Adim7/C,C,C-Eb-Gb-A,diminished_7/first/adim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Adim7,A-C-Eb-Gb,second,2,Adim7/Eb,Eb,Eb-Gb-A-C,diminished_7/second/adim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Adim7,A-C-Eb-Gb,third,3,Adim7/Gb,Gb,Gb-A-C-Eb,diminished_7/third/adim7_third.png,generated_locally_from_documented_chord_notes
